loss,mean_absolute_error,val_loss,val_mean_absolute_error,learning_rate
0.13328303396701813,0.34278014302253723,0.06653164327144623,0.19468127191066742,0.0003000000142492354
0.06446196138858795,0.21786445379257202,0.054572246968746185,0.16191451251506805,0.0003000000142492354
0.055514171719551086,0.19883881509304047,0.049681808799505234,0.1493690460920334,0.0003000000142492354
0.05111043527722359,0.19030506908893585,0.04791189730167389,0.14807166159152985,0.0003000000142492354
0.04875362664461136,0.18595193326473236,0.045807886868715286,0.14327041804790497,0.0003000000142492354
0.04713081568479538,0.1830589473247528,0.04535600170493126,0.14102840423583984,0.0003000000142492354
0.04607021063566208,0.181002676486969,0.04483342915773392,0.14135169982910156,0.0003000000142492354
0.04540156573057175,0.17962466180324554,0.04410146176815033,0.13678154349327087,0.0003000000142492354
0.04488929733633995,0.17860624194145203,0.044340141117572784,0.14199167490005493,0.0003000000142492354
0.04442645609378815,0.17777365446090698,0.04401890188455582,0.13908414542675018,0.0003000000142492354
0.04406395182013512,0.17693375051021576,0.04344874992966652,0.13714052736759186,0.0003000000142492354
0.043917637318372726,0.17684802412986755,0.04378647357225418,0.14118699729442596,0.0003000000142492354
0.04359382390975952,0.17622265219688416,0.04456675797700882,0.13984431326389313,0.0003000000142492354
0.04339907690882683,0.1757919192314148,0.04367423802614212,0.13932347297668457,0.0003000000142492354
0.04316200315952301,0.1752081960439682,0.043448373675346375,0.13821835815906525,0.0003000000142492354
0.04288681596517563,0.17433910071849823,0.042905546724796295,0.1368941366672516,0.0001500000071246177
0.04267524182796478,0.17407821118831635,0.04282445088028908,0.1358240395784378,0.0001500000071246177
0.042545270174741745,0.1737653762102127,0.04270494356751442,0.134576678276062,0.0001500000071246177
0.04239482060074806,0.17339672148227692,0.04251963272690773,0.13306598365306854,0.0001500000071246177
0.042237136512994766,0.1731898933649063,0.041998475790023804,0.1343124657869339,0.0001500000071246177
0.04233630374073982,0.17328733205795288,0.04196840152144432,0.13327057659626007,0.0001500000071246177
0.04225214198231697,0.17306190729141235,0.04360906034708023,0.13656370341777802,0.0001500000071246177
0.04214967042207718,0.1727185994386673,0.042884863913059235,0.13364923000335693,0.0001500000071246177
0.04199890047311783,0.17257742583751678,0.04268811270594597,0.13922958076000214,0.0001500000071246177
0.041881099343299866,0.17220482230186462,0.042233873158693314,0.13524222373962402,7.500000356230885e-05
0.04174730181694031,0.1718730330467224,0.04199336841702461,0.13436682522296906,7.500000356230885e-05
0.04174130782485008,0.17188593745231628,0.042034246027469635,0.13328708708286285,7.500000356230885e-05
0.04173346236348152,0.17184540629386902,0.04247290641069412,0.13504406809806824,7.500000356230885e-05
0.04157678782939911,0.1714836210012436,0.042521875351667404,0.13517309725284576,3.7500001781154424e-05
0.041565921157598495,0.17142437398433685,0.04216594249010086,0.1333802342414856,3.7500001781154424e-05
0.04152544587850571,0.17128950357437134,0.04198610037565231,0.1338883340358734,3.7500001781154424e-05
